"xreg","AIC","deltaAIC","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"air1",727.657865205475,0,0.00723057438822889,0.739496366106972,0.559096288058924,-0.448857962585399,5.11978081292227,0.68048962685613,-0.0655456571251155
"air2",727.924975412821,0.27,0.00757207743537605,0.737482371814831,0.556349145356067,-0.447748596958414,5.06988725967101,0.677146012969373,-0.0722494284043465
"air1spr1",728.061839101089,0.4,0.00801297657291963,0.737674029784677,0.558465097377722,-0.443554917232496,5.1330821016378,0.67972138939811,-0.0664032086171674
"air3",728.564612761801,0.91,0.0078359507253936,0.735922562085555,0.55639815941409,-0.445987680661864,5.06633884324261,0.677205669165931,-0.0677893018897015
"air2Spr1",728.87553397911,1.22,0.00818795954302277,0.736292429755433,0.55588381189669,-0.443452286312119,5.08676651895721,0.676579644351125,-0.0717420098777865
"air1spr2",729.532989303409,1.88,0.0079775721760796,0.737089396514702,0.556917226493177,-0.439946223460175,5.09938559512228,0.677837438273515,-0.0625311818765215
"air2Spr2",730.127817135841,2.47,0.00814029891635799,0.735460899209212,0.554025885256192,-0.439431780535103,5.04602987858168,0.6743183168601,-0.0679174172854464
"air3Spr2",731.137648576807,3.48,0.00826590883763354,0.734325391763553,0.554990311240151,-0.438474966580695,5.05733694447951,0.675492143072098,-0.0639042493856552
"harmonics",771.42676781589,43.77,0.0081434019806134,0.794550394655626,0.586411271937591,-0.470958671644681,5.34090505939025,0.713735354978753,-0.037195421121892
"sproat",773.230964568669,45.57,0.0085235885956191,0.794317531823573,0.587025221076984,-0.468435472022234,5.36971204393339,0.714482607338852,-0.0372707601189029
"sproat2",773.441507437485,45.78,0.00845855034339365,0.792147589997616,0.58331619975673,-0.4616654039809,5.29750739379193,0.709968267701607,-0.035398228494548
